airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-03-12,Banglore,New Delhi,08:50:00,10:15:00,1525,2.0,No Info,12778
Jet Airways,2019-03-03,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,No Info,17234
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Indigo,2019-03-27,Delhi,Cochin,07:45:00,13:40:00,355,1.0,No Info,4832
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,8452
Indigo,2019-03-09,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,4545
Air India,2019-04-01,Kolkata,Banglore,17:30:00,08:55:00,925,1.0,No Info,7893
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,23:25:00,1015,1.0,In-flight meal not included,8824
Air India,2019-06-27,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No Info,11386
Multiple Carriers,2019-03-06,Delhi,Cochin,02:15:00,13:20:00,665,1.0,No Info,17057
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,04:25:00,805,1.0,No Info,14714
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,00:45:00,1140,1.0,In-flight meal not included,7832
Spicejet,2019-05-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Spicejet,2019-05-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Air Asia,2019-03-03,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,13474
Vistara,2019-06-12,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No Info,14151
Jet Airways,2019-06-09,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,10368
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8610
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No Info,14714
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,14714
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No Info,16736
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,14178
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,7485
Jet Airways,2019-06-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,7229
Air India,2019-05-21,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Air India,2019-06-12,Kolkata,Banglore,16:50:00,11:10:00,1100,1.0,No Info,8366
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,10953
Indigo,2019-06-21,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Multiple Carriers,2019-03-09,Delhi,Cochin,17:50:00,01:35:00,465,2.0,No Info,23583
Multiple Carriers,2019-03-03,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No Info,15147
Multiple Carriers,2019-03-21,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No Info,7363
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,22:55:00,945,1.0,No Info,12732
Jet Airways,2019-05-06,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Air India,2019-03-24,Kolkata,Banglore,07:00:00,08:55:00,1555,1.0,No Info,12173
Multiple Carriers,2019-05-27,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7618
Spicejet,2019-06-03,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5726
Air India,2019-06-09,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,10178
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,15129
Indigo,2019-04-24,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3480
Multiple Carriers,2019-03-27,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,6637
Air India,2019-06-12,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10203
Air India,2019-06-12,Delhi,Cochin,13:05:00,09:25:00,1220,2.0,No Info,10975
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7933
Indigo,2019-06-15,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Air India,2019-05-24,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,14151
Jet Airways,2019-06-24,Delhi,Cochin,08:00:00,19:00:00,660,1.0,1 Long layover,18581
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,7927
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,9314
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No check-in baggage included,3807
Indigo,2019-05-15,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Jet Airways,2019-05-27,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12898
Indigo,2019-05-09,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Multiple Carriers,2019-05-09,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,9021
Multiple Carriers,2019-05-21,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7888
Indigo,2019-05-09,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6979
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,18:50:00,430,1.0,No Info,11999
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,20:20:00,740,1.0,In-flight meal not included,7832
Indigo,2019-06-03,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Multiple Carriers,2019-06-03,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,9001
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14533
Jet Airways,2019-05-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Indigo,2019-05-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,8610
Vistara,2019-03-03,Banglore,New Delhi,06:40:00,10:25:00,1665,1.0,No Info,12476
Air India,2019-05-15,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,10975
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,8849
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Vistara,2019-03-09,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No Info,11598
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2.0,In-flight meal not included,6643
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No Info,5678
Jet Airways,2019-03-09,Banglore,New Delhi,07:00:00,20:20:00,800,1.0,In-flight meal not included,11087
Jet Airways,2019-06-24,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Indigo,2019-03-06,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Air India,2019-03-21,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,6482
Jet Airways,2019-06-12,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,12373
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,18:50:00,2245,2.0,No Info,20064
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,18:50:00,890,1.0,No Info,11299
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,20:20:00,875,1.0,No Info,13817
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,05:05:00,900,1.0,No Info,13555
Air India,2019-05-18,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,15957
